 relname  | relkind | reltuples | relpages 
----------+---------+-----------+----------
 t_1_2    | r       |      9571 |       43
 t_1_3    | r       |      4533 |       21
 t_1_4    | r       |      8855 |       40
 t_1_5    | r       |      4213 |       19
 t_1_6    | r       |      9193 |       41
 t_1_7    | r       |      7685 |       35
 t_1_8    | r       |      8517 |       38
 t_1_9    | r       |       230 |        2
 t_1_10   | r       |       755 |        4
 t_1_11   | r       |      4316 |       20
 t_1_12   | r       |      4582 |       21
 t_1_13   | r       |      6814 |       31
 t_1_14   | r       |      6954 |       31
 t_1_15   | r       |      1945 |        9
 t_1_16   | r       |      9479 |       42
 t_1_17   | r       |      8952 |       40
 t_1_18   | r       |      4203 |       19
 t_1_19   | r       |      2271 |       11
 t_1_20   | r       |      5086 |       23
 t_1_22   | r       |      1907 |        9
 t_1_23   | r       |      9130 |       41
 t_1_24   | r       |      3191 |       15
 t_1_25   | r       |      7751 |       35
 t_1_27   | r       |      7113 |       32
 t_1_28   | r       |      2218 |       10
 t_1_29   | r       |      8065 |       36
 t_1_31   | r       |      2730 |       13
 t_1_32   | r       |      3487 |       16
 t_1_33   | r       |      1588 |        8
 t_1_34   | r       |      2446 |       11
 t_1_35   | r       |      6631 |       30
 t_1_36   | r       |      4882 |       22
 t_1_38   | r       |      6766 |       30
 t_1_39   | r       |      9319 |       42
 t_1_40   | r       |      9633 |       43
 t_1_41   | r       |      4990 |       23
 t_1_42   | r       |      1081 |        5
 t_1_43   | r       |      2796 |       13
 t_1_44   | r       |      3559 |       16
 t_1_45   | r       |       576 |        3
 t_1_46   | r       |      5550 |       25
 t_1_47   | r       |      7549 |       34
 t_1_48   | r       |      8243 |       37
 t_1_49   | r       |      9143 |       41
 t_1_50   | r       |      2239 |       10
 t_1_51   | r       |      7608 |       34
 t_1_52   | r       |      1541 |        7
 t_1_53   | r       |      5944 |       27
 t_1_54   | r       |      5809 |       26
 t_1_55   | r       |      4760 |       22
 t_1_57   | r       |      6301 |       28
 t_1_58   | r       |      4902 |       22
 t_1_59   | r       |       980 |        5
 t_1_60   | r       |      7603 |       34
 t_1_61   | r       |      4146 |       19
 t_1_62   | r       |      4929 |       22
 t_1_65   | r       |      2255 |       10
 t_1_66   | r       |      5313 |       24
 t_1_67   | r       |      5547 |       25
 t_1_69   | r       |      7140 |       32
 t_1_70   | r       |      5921 |       27
 t_1_71   | r       |      7590 |       34
 t_1_72   | r       |      8311 |       37
 t_1_73   | r       |      6854 |       31
 t_1_74   | r       |      9531 |       43
 t_1_75   | r       |      3581 |       16
 t_1_76   | r       |      7122 |       32
 t_1_77   | r       |      2773 |       13
 t_1_78   | r       |      1904 |        9
 t_1_79   | r       |      6535 |       29
 t_1_80   | r       |      5894 |       27
 t_1_81   | r       |      5766 |       26
 t_1_82   | r       |      9743 |       44
 t_1_83   | r       |      5448 |       25
 t_1_84   | r       |      3996 |       18
 t_1_85   | r       |      3425 |       16
 t_1_87   | r       |      7561 |       34
 t_1_88   | r       |      3226 |       15
 t_1_89   | r       |        52 |        1
 t_1_91   | r       |      7602 |       34
 t_1_92   | r       |      2846 |       13
 t_1_93   | r       |      3809 |       17
 t_1_94   | r       |       245 |        2
 t_1_95   | r       |      9600 |       43
 t_1_96   | r       |      3888 |       18
 t_1_97   | r       |      8372 |       38
 t_1_98   | r       |      8598 |       39
 t_1_99   | r       |      5454 |       25
 t_1_100  | r       |      4644 |       21
 t_1_101  | r       |      5793 |       26
 t_1_102  | r       |      9547 |       43
 t_1_103  | r       |      9806 |       44
 t_1_104  | r       |      5241 |       24
 t_1_105  | r       |      9169 |       41
 t_1_106  | r       |      9063 |       41
 t_1_107  | r       |      9893 |       44
 t_1_109  | r       |      9965 |       45
 t_1_110  | r       |      2279 |       11
 t_1_111  | r       |      2076 |       10
 t_1_112  | r       |      9199 |       41
 t_1_114  | r       |      1756 |        8
 t_1_115  | r       |      9474 |       42
 t_1_116  | r       |       692 |        4
 t_1_117  | r       |      5871 |       26
 t_1_118  | r       |      4110 |       19
 t_1_119  | r       |      4443 |       20
 t_1_120  | r       |      6034 |       27
 t_1_121  | r       |      2354 |       11
 t_1_122  | r       |      1918 |        9
 t_1_123  | r       |      2420 |       11
 t_1_124  | r       |      5906 |       27
 t_1_125  | r       |      8446 |       38
 t_1_126  | r       |      5675 |       26
 t_1_127  | r       |      3391 |       16
 t_1_128  | r       |       752 |        4
 t_1_129  | r       |      5210 |       24
 t_1_130  | r       |      2395 |       11
 t_1_132  | r       |      4683 |       21
 t_1_133  | r       |      5203 |       24
 t_1_134  | r       |       931 |        5
 t_1_136  | r       |      2858 |       13
 t_1_137  | r       |      7594 |       34
 t_1_138  | r       |      5785 |       26
 t_1_139  | r       |      4375 |       20
 t_1_140  | r       |      4755 |       22
 t_1_141  | r       |      4227 |       19
 t_1_142  | r       |      3919 |       18
 t_1_143  | r       |      8873 |       40
 t_1_144  | r       |      2970 |       14
 t_1_145  | r       |      3714 |       17
 t_1_146  | r       |      1053 |        5
 t_1_147  | r       |      2809 |       13
